2023-05-07 03:50:48.060 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: False, group: (null)]
2023-05-07 04:56:43.019 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.time-limited-license], Result: [granted: False, group: (null)]
2023-05-07 04:56:43.019 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2023-05-07 04:56:43.019 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:56:50.422 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2023-05-07 04:56:50.422 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2023-05-07 04:56:50.422 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:56:50.422 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2023-05-07 04:56:50.422 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.780 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 04:58:09.780 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.780 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.780 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.disable], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.prototyping], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.time-limited-license], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2023-05-07 04:58:09.799 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 05:08:05.892 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 05:08:05.892 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.892 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.892 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.disable], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.prototyping], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.trial], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.time-limited-license], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.cluster], Result: [granted: False, group: (null)]
2023-05-07 05:08:05.911 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 05:50:06.411 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 05:50:07.281 User Agent: [Hub 3.4.2], Protocol version: [1.12], Session Id: [f8a25f11ee734dc3b12438ea6dec0ba7], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 06:24:51.965 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.legacy.pro], Result: [granted: False, group: (null)]
2023-05-07 06:24:51.965 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.watermarks.edu], Result: [granted: False, group: (null)]
2023-05-07 06:24:51.965 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.ui], Result: [granted: True, group: F4-7NBK-YM9K-W2AG-NQTE-XXXX]
2023-05-07 06:24:51.965 User Agent: [UnityEditor/2021.3.24f1 (Linux; U; Linux 6.0; en_US)], Protocol version: [1.12], Session Id: [ac59854aae784f09b65f22e1bf7f1a9a], Licensed Package: False, Entitlement requested: [com.unity.editor.disable-splash-screen], Result: [granted: False, group: (null)]
